PS D:\Downloads\클라이언트_코드> python openvla_multicolor_client.py --server_url http://127.0.0.1:8000 --xml_path Raccoon_colored_cylinder.xml --target_color blue_sphere --task_type push --speed 100 --settle_seconds_per_action 0.4 --max_delta_xyz 0.012 --delta_scale 1.5 --min_object_distance 0.05 --object_x_range -0.13 0.13 --use_viewer
[CLEANUP] removed 42 existing image files from rollout_outputs\episode_000001
[DEBUG] current ee from get_ee_pose = (0.00, 14.74, 9.44) cm
[DEBUG] IK(current ee) = [-0.005280205391976726, -10.001870609331936, -140.00075796191655, 60.00262857124849]
[SCENE] task_type='push' | instruction='push the blue sphere' | target_color='blue_sphere' | target_xy=(-0.067, 0.172)
[000] OK | final_delta=[-0.0084, 0.0042, -0.0007] | move=[-0.0084, 0.0042, -0.0007] | target=[-0.0084, 0.1515, 0.0935] | gripper=0.0 | retries=0
[001] OK | final_delta=[-0.012, 0.0083, 0.0015] | move=[-0.012, 0.0083, 0.0015] | target=[-0.0201, 0.1583, 0.095] | gripper=0.0 | retries=0
[002] OK | final_delta=[-0.012, 0.0083, 0.0015] | move=[-0.012, 0.0083, 0.0015] | target=[-0.0315, 0.1636, 0.0958] | gripper=0.0 | retries=0
[003] OK | final_delta=[-0.012, -0.0004, 0.0016] | move=[-0.012, -0.0004, 0.0016] | target=[-0.0427, 0.1602, 0.0967] | gripper=0.0 | retries=0
[004] OK | final_delta=[-0.012, -0.004, 0.0011] | move=[-0.012, -0.004, 0.0011] | target=[-0.0543, 0.1555, 0.097] | gripper=0.0 | retries=0
[005] OK | final_delta=[-0.0059, 0.0015, 0.001] | move=[-0.0059, 0.0015, 0.001] | target=[-0.0599, 0.1571, 0.0974] | gripper=0.0 | retries=0
[006] OK | final_delta=[-0.0059, 0.0015, 0.001] | move=[-0.0059, 0.0015, 0.001] | target=[-0.0653, 0.1575, 0.0977] | gripper=0.0 | retries=0
[007] OK | final_delta=[-0.0006, 0.001, 0.0003] | move=[-0.0006, 0.001, 0.0003] | target=[-0.0653, 0.1575, 0.0974] | gripper=0.0 | retries=0
[008] OK | final_delta=[-0.0003, 0.0008, 0.0002] | move=[-0.0003, 0.0008, 0.0002] | target=[-0.0655, 0.1579, 0.0972] | gripper=0.0 | retries=0
[009] OK | final_delta=[-0.0003, 0.0007, 0.0002] | move=[-0.0003, 0.0007, 0.0002] | target=[-0.0656, 0.1583, 0.097] | gripper=0.0 | retries=0
[010] OK | final_delta=[-0.0003, 0.0008, 0.0002] | move=[-0.0003, 0.0008, 0.0002] | target=[-0.0658, 0.1588, 0.0968] | gripper=0.0 | retries=0
